text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
0,"VAMPYRE;
A tale.
By John William Polidori
THE superstition on which this tae is based is very general in the East. However, it did not extend to the Greeks until after the establishment of Christianity; and it did not take the form of prosents since the division that the Latin and Greek churches had",4,"si cicty. He went away until the limbs almost looked like carrying their weight, he was forced to take the arm of a friend, and in anticipation of a passage through the crowd, he threw himself irito his car, and wos led to the house. Hc passed the room with pressed steps, and fixed his hands on the ",3,"o rest where he was surprised by the fatigue. His sister, anxious for his saferie, employed people to follow him; but they were soon dislodged by him who fled from a swister pursuer than any thought. His conduct, however, weldly loaded. Struggled with the thal ho idea left behind by his entire tho a",3
1,"VAMPYRE;
A tale.
By Johri William Polidori
THE Simpertition on which his tale is based is general in the East. Among the Arahians he seems to be emmon: he did not, hawever, extend his sons to the Greoks until after the establishment of Christianity; and he took his present form only since the divisi",1,"gradually, as the year passed, his incoherents became less frequent, and his mind threw a part of his morosity, while his guardians observed, that several times in the day he counted on his fingers a dofinitc number, then smile.
The time had rioarly passed, wben, on the last day of the year, ono af ",3,"l of books and papers, which were theri in the chest of a largc sailor in the closet: it was open, but we did not think we justified ourselves in the examination of the contents. On the tablet of the recess rest Voltaire, Shokspeare, B0ileau, and the works of Rousseau eomplete; Volney's Ruins of Emp",2
2,"VAMPYRE;
A tale.
By John William Polidori
THE superstition on which this tale is based is very general in the East. Among the Arbians, it seems common: however, it does not extend to the Greeks until the establlfhrnt of Christianity; and it has only ossumed its form presounded from the divisiori of ",2," horrible fjends, had inspired them to such terror. As he was about to leave, Ianthe came beside his horse, and begged him to resign himself, and he allowed the power of these beings to be put into action. However, he was so busy in his research, that we did not see that doy-lighl was about to end, ",4,", we observed corners, once, the thealde man told us, filled with b0oks and papers, which were tben in the chest of a great feman in tbe claset: it was open, but we did not think we justified ourselves to exclude the eonents. On the establishment of the rees were Voltaire, Shakespeare, Boileau and R",2
3,"VAMPYRE;
A tale.
By John Wjlliam Polidori
THE superstilion on which this story is based is very general in the East. Among the Arabs, it seems to be common: it does not extend, however, to the Greeks until after the establishment of Christianity; and it has taken its present form only since the duez",2,"iving corse, thy victims, and shall perish, and know the devil for their tears: as thou cursest thyself, thou cursest them, Your flowers are wilted on the stem. But he who, for your crime, must fall, the youngest, the best wretched of all, will bless you with the name of a sadric — This word will en",3,". There were several clnd otaghan daggers. If he turned them and examined their curious forms, what was his surprise at finding a sheath apparently adorned in the same style as the defamed dagger in the fatal hut — he trembled — rushing to get more pr0of, he found the wcapon, and hif h0rror can be i",2
4,"VAMPYRE;
A tale.
By Jahn William PoIjdori
THE superstition on which this tale is based is very general in the East. Among the Arabs, it seems to be common: however, it does not extend to the Greek tho until after the establishment of Christianity; and it has usually taken its present form since the ",4,"ath seemed to progress with hasty steps. His arid conduct had not changed; he seemed as unconscious of the pain that he had been objects around him; but to say the olose of the last evening, his mind became apparently uncomfortable, and the bis eye often fixed on Aubrey, who wos endured with the hel",4,"t trust which was bad before imposed by Aubrey's parerits.
Despered to save him from the evils and sufferings which he had encouraged every day in his wanderings, and to prevent him from exposing to the general eye these marks of what they considered to be madness, they set up a doctor to reside in ",4
5,"VAMPYRE;
A tale.
By John William Polidori
THE superstition on which this tclle is based is very general in the East. That's what we have to do. It seems common to the Arabs: it did not extend to the Greeks until after the establishment of Christianity; and it has assumed only the present form of the",3,"me, the guards and the physiclan, who had hindsight, and thought it was only a reminder of his trouble, entered, and Miss Aubrey's forcing, wanted her to leave him. He fell on their knees from bis to them, he begged them to delay them, but for one. They, attributing to the folly they imagined, had s",3,"ticular of the seigneur isolated. He had a portion of eight young girls when he was walking on the island, and even danced with him at the wedding feast. He gave a cow to a man, horses to others, and cotton silk surd to the girls who live by weaving lhese articles. He also bought a new boat for a fi",4
6,"VAMPYRE;
A tale.
By John William Polidori
THE superstition on which this talo js founded is very general in the East. Among the Arabs it seems to be common: it did not extend to the Greeks until after the establishment of Christianity; and it took its present form only since the division of the Lati",3,"at ho could by a glance stifle him, and cast fear into the breasts where modesty reigned. Those who fell this feeling of apprehension could not explain that it arose: some attributed it to the grey tbedead eye, which, standing on the face of the object, did not seem to pone, and at a glance to pierc",3,"pe from his mind the very object which he had before thought of vital importance for the proper interpretation of a passage in Pausanias. But why try to describe the charms that everyone feels, but none can appreciate?—It was innocence, youth and beauty, without being affected by overcrowded drawing",4
7,"VAMPYRE;
A tale.
By John William Polidorl
THE plorestition on which this tole is based is very general in the East. Among the Arabs it seems to be Cammon: it laughed, commentcver, extends to the Greeks till after the establishment of Christianity; and it only assumed that it presents form finces the",1,"as standing in a corner near Hesolf, without mingling around him, he engulfed in the rem brance that the first time he had seen Lord Ruthven was there, he suddenly felt seized by his arm, and a voice he recognized t0o well, sounded in his ear – ""Remember your 0ath"". He had had little desire for tvrn",2,"he day before his departure for the coritinenl.
Aubrey, when left by the doctor and his guardians, tried to bribe the servarits, but in vain. He asked for pen and paper; it was he who givoned him; he wrote a letter to his fisher, conjuring her, as she appreciated her own happiness, her own honor, an",3
8,"VAMPYRE;
A tale.
By John William Polidori
THE fumestition vpon that this story is fovnded is very general to the East. Among the Arabs, it seems common: it did not, however, oxtend itself to the Greeks until asterizing the establishment of Christianity; and it has taken its present form since the di",1,"eri bow is frail!"" His saying, he pushed him to the servants of hjs, who, awakened by the old wmon, had come looking for him. Aubrey could no longer provide for him; the riot of arrogance discovered vengeance, had broken a blood vessel, and they carried him to bed. This was not mentioned to his sist",2,"he Greek temple was similar to the majestic decay of iri. A small stream from the ruins descended into broken waterfalls, until Jt was lost in the woods near the base of the mountain. The smooth sea as glass, and the horizon ari urishadod by a cloud slngle, Finish the view in frorit; and a little to",3
9,"VAMPYRE;
A tale.
By John William Polidori
THE superstition on which this tale is based is very fanciful in the Eost. Amang the Arabs it seems to be your comrnon: it has not, however, spread over the Greeks vntil after the establishment of Christianity; and it has only clussum its presenl form since ",2,"swecler that, for a yes or a day you will not in part be your knowledge of my crimes or death to any living being in any way, whatever happens, or whatever you can see. ""-His cyes seemed to burst their slippers fr0m: ""I swear!"" said Aubrey; he mocked his pillow, and did not breathe rnore.
Aubrey rct",3," more curious in our research at the cottage, but we were oonsolated with the idea of returning to Mitylene ori somo tomorrow; but to me who will never come back. I make this statement, believing that it is not quite interesting, and in court in the right name of bis Lordship, which has been grossly",2
10,"VAMPYRE;
A tale.
By John Willjam P0lidori
THE superstition on which this story is stuffed is very general in the east. Among the Arabs, it seems to be commori: it did not extend to the Greeks until after the establishment of Christianity; and it did not assume its present form since the division of ",3," in the smile of royalty, hastened this. Aubrey was there with her sister. As he threw himself into a bim, he entered the rememore that the first time he had seen Lord Ruthven was in his place – he svddenly sei2od himself by his arm, and a voice that he also recognized us1l, sounded in the bis ear –",3,"ew of the young girls when he was last on the island, and even panicked with them at the wedding feast. He scratched a cow to a man, hordes to others, and colton and silk to the girls who first made these articles. So he bought a new boat for a fisherman who had lost his own in a storm, and he osten",4
11,"VAMPYRE;
A tale.
By John Willjam Polidori
THE superstition on which this tale is stuffed is very general in the East. Among the Arabs it seems to be common: it did not, however, extend iteIf to the Uritil Greeks after the establishment of Christianity; and it has assumed its present farm only since ",2,"t to cut off other apclrtments, and calling to the motber of the lady, informed him of what he knew, not only with regard to the hcr daughter, but also with regard to the characler of his lordsbjp. The subpoena was prevented. The next day, Lard Ruthuen simply sent his servant so that he had not give",1,", was soon heard by those who did not. Tbey entered; the highl of their torches fell on the mud walls, and the thalcb loaded each straw with heavy footflakes. To the desire of Aubrey, they sought her, who had drawn the bim with her cries; they left him again in the darkness; but what he abhors, whic",2
12,"VAMPYRE;
A Talo.
By John William Polidori
THE superstition on which this tale is exhausted is very general in the East. Amang the Arabs It seems to be emmon: it does not extend to the Greeks, however, until after the establishment of Christiariity; and it has not flashed its presenl form since the d",2,"though in vain: — when she stood bef0ro him, although her eyes were apparently fixed on her, jt fcemed still as if they were vnceived; — even her unalised impudenco was strewn, and she left the field. But the common adultross could not influence even the orientation of his eyes, it was not that the ",1,"ss woman. Ho seized the opportunity, if one were bound was out of the kingdom, and in a mountain fell himself in the aparlinent where all were almost assembled. The Lord Ruthven was the first to perceive him: he approved himself without bounds, and, taking his arm by force, cast him out of the chamb",2
