text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
0,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this state is based is very general in the East. However, it did not extend to the Greeks until after the establishment of Christianity; and it did not take the form of presents since the division that the Latin and Greek churche",4,"and then smiled.
The lime had almost fainted, when, at the top of the year, one of his guardians had started to talk to his doctor about the melancholy situation of Africa in such a awful situation, when his sister was going to marry the next day. Aubrey's attention was instantly drawn; he asked wit",4," foreheads, or to add lots of measures. The made is directly the inverse, the bone can be collected plalily from these small anecdotes. All the finer feelings of the heart, his elegantly represented in the poems of his secretary, seem to have their seat in his bosom. The tenderness, sympathy and cha",3
1,"A VAMPYRE:
A tale.
By John William Polidori.
The Simpertition on which his tale is based is general in the East. Among the Arahians, he seems to be emmon: he did not, hawever, extend his sons to the Greoks until after the establishment of Christianity; and he took his present form only since the div",2,"ms of his leadership, seems to have their seat in his bosom. Tondity, sympathy and charity seem to guide all his actions; and his courteousness to the rest of solitude is an additional reason for the marketing. It is a song on whose heart the Religion has put his bosom, and the over whose head Benev",2,"""trails"" without feeling proud of him or a compatriot. As far as his love or pleasures are concerned, I do not assume the right to give an opinion. Reports must be received with caution, especially when they are directed against the moral integrity of a man; and whoever dares to justify himself must",3
2,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very general in the East. Among the Arbians, it seems common: however, it does not extend to the Greeks until the establishment of Christianity; and it has only ossumed its form presounded from the divisiori",3,"ter leaving Rome, Aubrey directed his steps to Greece, and crossed Penirisula, soon found himself in Athens. He then fixed his house of residence of a Greek; and soon occupied biinself by tracing the records faded from monuments upon ancient glory, which apparently, shame of chronicling the relation",3,"et smile on his lips. He determined to steal scenes, each characteristic of which created suchbitler associations in his mind. He proposed to Lord Ruthven, to whom he held himself bound by the care to steer whom he had taken from him during his illness, that he should visit the parts of Greece neith",4
3,"A VAMPYRE:
A tale.
By John William Polidori.
The superstilion on which this story is based is very general in the East. Among the Arabs, it seems to be common: it does not extend, however, to the Greeks until after the establishment of Christianity; and it has taken its present form only since the d",2," well to use the art of the serpent, or that was the will of destiny, that he gained his affections. The title of the eldest branch that fell to him in length, which obtained an important emossery, which served as an excuse to haveten the marriage tob ,( in spite of the disturbed state of his brothe",3,"le to the left, through a view of noble hazelnuts and plumtrees, small seural islands were observed distinctly, spreading the wave of light blue with spots of emerald green. I rarely enjoyed a moro view that I did not do this; but our requests were irrelevant as to the name of the person who had res",2
4,"A VAMPYRE:
A tale.
By John William Pojdori.
The superstition on which this tale is based is very general in the East. Among the Arabs, it seems to be common: however, it does not extend to the Greek to until after the establishment of Christianity; and it has usually taken its present form since the",3," works of Voltaire, Shakespearo, Boileau and Rousseau, the Ruins of the Empires of Volney, Zimmerinan, in the German language, the Messiah of Klopstock, the rivals of Kolzebue, the play of Schiller des Robbers, the Paradise Lost of Milton, an Italian edition, printed in Parma in 1810, several small ",3,"day; but to me that day will come again. I make this statement, believing that she is not entirely uninteresting, and in court in the good name of her secretary, which has been severely slandered. It has been described as an unshakeable provision, contrary to human nature, or contributing in any way",3
5,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this table is based is very general in the East. That is what we have to do. It seems common to the Arabs: it did not extend to the Greeks until after the establishment of Christianity; and it has assumed only the present form of",2," but to me that day will come the return. I render this state of mind, believing that it is not entirely uninteresting, arid in justice, the good name of his leadership, which was grossly stoned. It has been described as an insensitive disposition, inverse to associate with human nature, or to contr",2,"ual tribincll where all must appear, only can censor the errors of a confrer-mortal. Lord Byron's character is worthy of his genius. Doing good in secret, and rejecting the applause of the world, is the surest of the contraindications of a virtuous heart and self-collision consciousness.
THE END!
Gi",3
6,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this talk is just founded is very general in the East. Among the Arabs, it seems to be common: it did not extend to the Greeks until after the establishment of Christianity; and it took its present form only since the division of",3,"rently, the laughter of the lawman drew his attention, so that he could by a glance stifle him, and cast fear into the breasts where modesty reigned. Those who fell this feeling of apprehension could not explain that it arose: some attributed it to the grey tbedead eye, which, standing on the face o",2,"ter, for he—but he could not move forward — just seemed as if this voice again asked him to reborn his oalh—he turned abruptly around, thinking that Lord Ruthven was near him but did not see anyone. The guards and the doctor, who had heard the school and thought it was only a return of his disorder,",3
7,"A VAMPYRE:
A tale.
By John William Polidorl.
The position on which this tool is based is very general in the East. Among the Arabs it seems to be Cammon: it laughed, commentcver, extends to the Greeks till after the establishment of Christianity; and it only assumed that it presents form finance the",3,"not prevent him from becoming a vampy himself; for about twenty or thirty days after his death, many people complained of being tarnished by him, and of depositing wos, that four people had been deprived of life by his touching. To avoid other malice, the inhabitants having consulted Lejr Hadagni, t",2," said our conductor ,"" could say it, but I am furious, he will not say it,"" and can you say it, an old friend ?"" he said ,"" If I can ,"" he said ,"" I won't dare ."" We had not long visited the Armenian, but on our return to the tower, we would bend several parliculars of the secluded lord. He shared e",3
8,"A VAMPYRE:
A tale.
By John William Polidori.
The fumestition point that this story is found is very general to the East. Among the Arabs, it seems common: it did not, however, extend itself to the Greeks until asterizing the establishment of Christianity; and it has taken its present form since the ",3,"be produced. In many parts of Greece, it is considered a sort of punctuation after death, for a heinous crime committed that exists, that the deceased is not only condemned to vampyria, but forced to confijne his infernal visits only to those whom he loved most while he was on earth — those to whom ",2," as defense. However, at the time of the formation of a narrow dew, at the bottom of which was the bed of a torrent, with large masses of rocks brought down neigbbourant precipices, they had reason to repent of their intelligence; for it was horrificly the whole of the TB party engaged in the narrow",2
9,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very fanciful in the West. Amang the Arabs it seems to be your common: it has not, however, spread over the Greeks until after the establishment of Christianity; and it has only clussum its present form sinc",2," left London.
The weakness of Aubrey increased; the blood efffusion produced symptoms of the near-death approach. He wanted his sister's guards to be called, and when midnight had struck, he presented himself in the form of a room that the reader persecuted, and he dictated immediately afterwards.
T",3,"as his love or pleasures are concerned, I do not assume the right to give an opinion. The deportations must always be the subject of a warning, especially when they violate the moral integrity of a man; afraid who dares to justify himself before this terrible tribulation where everything must appear",2
10,"A VAMPYRE:
A tale.
By John Willjam Prison.
The superstition on which this story is stuffed is very general in the east. Among the Arabs, it seems to be commori: it did not extend to the Greeks until after the establishment of Christianity; and it did not assume its present form since the division of",3,"or the next day, which had been announced as a living room.
The crowd was excessive, a living room had not been held for a long time, and all the jobs were anxious to rest in the smile of royalty, hastened this. Aubrey was there with her sister. As he threw himself into a bim, he entered the rememor",3,"oks so striking, his anvils are so visible, that if his sister was finally obliged to beg him to refrain from seeking, for her, a society that affected him so much. When, how, the demonstration turned out to be unavailing, the guards thought it appropriate to intervene, and, fearing that the spirit ",3
11,"A VAMPYRE:
A tale.
By John Willjam Polidori.
The superstition on which this tale is stuffed is very general in the East. Among the Arabs it seems to be common: it did not, however, extend it to the Uritil Greeks after the establishment of Christianity; and it has assumed its present farm only since ",3,"e remained in this state; locked in his room, he saw no one, and ate only when his sister clapped, who, with eyes flowing with tears, begged him, for his own good, to sustain nature. Finally, being no longer able to endure calm and loneliness, he left his house, wandered from the street to the stree",2,"opriate to reveal. He had a very beautiful daughter, with whom the Lord was often seen bouncing on the seafront, and he had bought him a piano-forle, and he himself taught him how to use it.
This was the information with which we left the peaceful island Mitylene os; love imaginations all on the rac",3
12,"A VAMPYRE:
A Talo.
By John William Polidori.
The superstition on which this tale is exhausted is very general in the East. Manga Arabs It seems to be emmon: it does not extend to the Greeks, however, until after the establishment of Christiariity; and it has not flashed its present form since the di",2,"oice screams ,"" Always flouted !"" He felt overwhelmed by a man whose strength seemed superhuman: he soaked life as hard as he could, he struggled; but it was in uain: he was left from his feet and threw with enormous force against the grurid :— the enemy bis fought over him, and knelt on his chest, ",3,"e parts of the Greee neighbor had seen again. They traveled in all directions, and looked for any place where reprint clings; but they hadtened in this way to go from one place to another, but they did not seem to hold what they were looking at. They heard many robbers ,6 but they gradually began to",3
13,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very general in the East. Among the Arabs it seems to be common: it nat, however, extends to the Greeks until after the establishment of Christiariity; and it has taken its present form only since the divisi",3,"at could be attracted by a butterfly or a color – it was sedative and pensive. When alone, her face was never brilliantly shaken by the smile of joy; but when her brother breathed her affection, and in her presence she would have relieved those sorrows that she knew to destroy her roste, who would h",2," that may be more easily bc designed than deformed, the notes of occupied preparation. The morning came, and the sound of the cars broke on his ear. Aubrey grew frantic almost. The curiosity of the servants finally came to their village, they graciously stole, leaving him in the custody of an old po",2
14,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is founded is very general in the East. Among the Arabs, it is common: it did not extend to the Greeks until after the establishment of Christianity; and it took its present form only since the division of the Latin and",4,"rior 1 were beautiful ,1 many female hunters after notoriety aspired to gain her attention, and to gain, at least, some marks of what they might call affection: Lady Mercer, who had been moc ery to every mansler dressed in the drawing rooms since her marriage, threw himself in her way, and threw him",3,"avities and caresses of his sister, all the memory of the past. If, by her infantile caresses, she had acquired her affection, now that the woman was beginning to appear, she was full inore attaches a companion.
Miss Aubrey didn't have total winning thanks to which wins the look and applause of draw",3
15,"A VAMPYRE:
A tale.
By Johri William Polidori.
THE superstition on which this tale is found is very general in the East. Among the Arabs, it seems to be common: it did not extend, hawen, to the Greeks until after the establishment of Christianity; and it did not assume its sorm present since the divi",3," broke part of his morosity, while his guardians observed that several times in the mscly he counted on his fingers a certain number, and then smiled.
The shooting had almost ended, when, on the day of the year, one of his guardians cracking his room, began to converse with his physician on the mela",3," us, filled with books and papers, which were there in the large secret chest in the closet: it was open, but we did not think that the novels justified by examining the content. On the tablet of the recreation play Voltajres, Shakespeare, Boileau and Rousseau complete works; the ruins of the empire",2
16,"A VAMPYRE:
A tale.
By Jonathan Polidorj.
The superstition on which this tale is falsified is very general to the East. It did not extend to the Greeks until they swelled the establishment of Christjanity; arid took its present form only from the division of the Latin and Greek churches; to which the",3,"filement will tear the braids of his yellow hair, Df who, in life of locks when the thorn Affeoton the tenderest pledge carried — But now is a boom away from your Memorial of your agony! But with your best drop of blood, your grinning tooth, and your harry lip, and then trampling on your sulten tomb",2,"irtue, that he granted his alarms ;— the door was sent out where sneezes were not removed; bvt when the profligate came to ask for something, not to relieve his desires, but to allow him to harden himself in his last, or to sink him deeper into his iniquity, he was back to a rich charity. This was, ",2
17,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition on which this tale is based is very general in the East. Among the Arabs it seems to be common: however, it does not extend to the Greeks until oster the establishment of the Christianity; and it has assumed its form precstered only from ",2,"e street; and at the door he found sons hindered by the crowd of servants waiting for their lords; and while he was committed to passing them, he heard again that the voice murmured the closet to him :""Remember your oath !"" He dared not turn, but, pressing on his sister, soon came to the horn.
Aubre",4,"to carry a silt and solitudo, he left his house, wandered from the street to the street, astonished to steal this haunted image of this. His dress was spoiled, and he wandered, as often exposed to the noon smile as to the midnight humidity. He was no longer recognized; at first he returned to the ho",4
18,"A VAMPYRE:
A tale.
By John William Polidori.
The superstition concept that this story is founded is very general in the class. Among the Arabs, it seems common lobe: he did not, however, externalize himself to the united Greeks after the establishment of Christianity; and he did not take his present",2,"lhemselves, after several of their close relatives and children had found so unbelievable, she begged to believe it, for he had been pointed out that those who had darod to question their existence, had always had given evidence, which forced him to confess, with grief and heart broken, to confess. ",3,"uld brow from his brain. Lord Ruthuen again begged him — the circumstances began to open — the dagger — his oath .— He woke him up, he might riot that it was possible —
— The dead rise again !— He thought his imagination had conjured the image on which the spirit rests. It was impossible that it cou",2
