,text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
0,0,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this site is founded is very general in the East. Among the Arabjans itappeors to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its pres",3,"e with whom she could visit her favourite haunts, whilst her guardian was occupied in sketching or uncovering some sragmenl which was bad yet escaped the destructive hand of time. She had appeared to her parents on the subject of Vampyres, and they both, with several prefent, affirmed their existenc",3,"aledictionsupon his head, and curse him as her secretary. Lord. Rutbven, chanced at this time to arrive at Athens, and, from whatever motive, upon hearing of the state of Aubrey, immediately placed himself in the same house, and became his constant attendant. When the latter recovered from his delir",3
1,1,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE observation upon which this tale is founded also very general in the East. Among the Arahians it appears to be eommon: it did not, hawever, extend itsels to the Greoks until after the establishment of Christianity; and it has only assumed its pr",2,"the influence of her lovely sinile; for he pressed her to his breast, and kissed her cheek, wet with tears, flowing at the thought of her mother being once more alive to the feelings of affection. He began to speak withall his wonted warmth, and to corigratulale her upon her marriage with a person s",4,"physician, he thought it better not to haross any more the mind of Miss Auhrey by, what he considered, the ravings of a maniac. Night passed on without real to the busy inmates of the house; andAubrey heord, with a horror that may more easily be conceivedthari described, the notes of busy preparatio",3
2,2,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Among the Ar abians it appears to be common: it did not, however, extend itself to the Greeks until ofter the establishment of Christianity; and it has only ossumed its pr",3," which never galned a warmer tint, either from the blush of modosty, or from the strong emotion of passion, though its form and outline wore beautiful, many of the female bunters after notorjety attempted to win his attontions, and gain, at least, some marks of what they might term affection: Lady M",3,"ling waters.
Hilherto, Avbrey had had no opportunity to study Lard Ruthven's character, and now he found that, though many more of his actions wereexposed to his view, the results ossered different coriclusions from the apparent motives to his conduct. His composition was profuse in his libercllity ",2
3,3,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstilion upon which this tale is founded is very general in the East. Among the Arabians it appears to be common: it did not, however, extenditself to the Greeks until after the establishment of Christianity; and it has only assumed its pres",4,"ht it was a high time to resume again that trust which had been before imposed upon thein by Aubreys parents.
Desirous of saving him from the injuries and sufferings he had daily encountered in his wanderings, and of preventing him from exposing to the general eye, those marks of what they considere",5," man, horses to others, and cotton and silk to the girls who live by weaving these articles. He also bought a new boat for a fatherman who had lost his own in a gale, and he often gave Greek Testaments to the poor children. In short, he appeared to us, from all we collected, to have been a very ecce",3
4,4,"THE VAMPYRE;
ct: A Tale.
By John William Pojdori.
THE superstition upon which this tale is founded is very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has orily assumed its pre",4,"found that there was a curse upon it, because they were all the citizens led to the scaffold, or sunk to the lowest and the most abject misery. At Brussels and other towns through which they passed, Aubrey was surprized to the apparent eagerness which they had been fougbt for the centres of all fash",4,"eresting, and in justice to his lordships good name, which has been grossly slandered. He has been described as an unfeeling disposition, averse to afsociating with human nature, or contributing in any way to smooth its sorrows, or add to its pleasures. The fact is directly the reverse, as may be on",4
5,5,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this table is founded is very general in the East. Making this. Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed jus",2," of the living vampyre, who had passed years amidst his friends, and dearestties, forced every year,by feeding upon the life of a lovely female to prolong his existence for the ensujng months,his blood would run cold, whilst he attempted to lclugh her out of such idle and horrible fantasies; bul Ian",2," mirrors, nor a single painting. The bedchamber had merely a large mattress spread on the floor, with two stuffed cotton quilts and a pillow — the common bed throughout Greece. In the sitting-room we observed a marble recess, formerly, the old man told us, filled with books and papers, which were th",5
6,6,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this talk is just founded is very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed it",3,"as covered by a fire Turkey carpet, beneath an awning of strong coarse linen. Most of the housotops are thus furnisbed, as upon them, the Greeks harvest their everything in smoking, drinking light wines, such as ""lclchryma christi"", eating fruit, anderijoying the evening breeze.
On the left hand as ",2,"by a single cloud, terminates the view in front; and a little from the left, through a vault of lofty chesnut and palm-trees, several small islands were distinctly observed, studding the light blue wove with spols of emerald greeri. I seldoin enjoyed a quiet inore than I did this; but our enquiries ",2
7,7,"THE VAMPYRE;
ct: A Tale.
By John William Polidorl.
THE observation upon which this tole is founded is very general in the East. Among the Arabiaris it appears to be cammon: it did riot, howcver, extend itself to tbe Greeks until after the establishment of Christianity; and it has only assumed itf pr",2,"upon his throat — when the glare of mclny torches penetratling through the hole that gave light in the day, disturbed hjm ;—he instantly rose, and, leaving hls prey, rvshed through the door, and in a moment the crash The storm was still now; and Aubrey, incapable of moving, was soon heard by those w",2,"red in the fatal hut—he shuddered—hastening to gain further proof, he found the weapon, and his horror may be imagined when he discovered that it fitted, though peculiarly shaped, the sheath he held in his hand. His eyes seemed to need no further certainty — they seemed going to be bound to the dagg",4
8,8,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE fuperstition icon which this tale is found is very general in the East. Among the Arabians it appears to be common: it did not, however, oxtend itself to the Greeks until after the establishment of Christianity; and it has anly assumed its prese",3,"ad called the morning after the drawing room, and had been refused with everyone else. When he heard of Aubreys ill health, he readily understood himself to be the cause of it; but when he lea-
rned that he was deemed lnsane, his exultatiori and pressure could hardly be conceoled from those among wh",2,", and the purser bargaining for cattle with the ncllives, the cergymclnarid myself took a ramble to the cave called Homer's School, arid other places where we had been before. On the brow of Mount Ida (a small monticule so named) we met with and erigaged a young Greek as our guide, who told us he ha",2
9,9,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is also founded is very general in the West. Amang the Arabians it appears to be comrnon: il did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only clssumed ",3,"f chronicling the deeds of sreemen only before slaves, had hidden themselves beneath the sheltering soil or many coloured lichen. Under the same roof as himself, existed being, so beautiful and delicate, that she might have formed the model for a painter wishing to pourtray on canvass the promised h",3,". We were kindly received by an old man, who conducted us over the mansion. It consisted of four apartments on the ground-floor—an entrance hall, a drawing-room, a sitting parlour, and a bedroom, with a spocious closet, annexed. They were all simply decorated: plain groeri-stained walls, marble tabl",3
10,10,"THE VAMPYRE;
ct: A Tale.
By John Willjam Plidori.
THE superstition upon which this tale is frightened is very general in the East. Among the Arabians it appears to be commori: it did not, bowever, extend itself to the Greeks until after the estoblishment of Christianity; and it has only assumed the ",2,"uth inber fears, though at the same time he wondered at these many coincidences which had all tended to excite a belies in the supernatural power of Lord Ruthucn.
Aubrey began to attach himself more and more to Ianthe; her innoconce, so contrasted with all the affected virtues of the women among who",2,"ut when we saw them shudder at his daring brush to mock a superior, infernal power, the very name of which apparently made their blood freeze, he was silent.
Next morning, Aubrey set off upon his excursion unattended; he was surprised to observe the melaricholy face of his host, and waf concemed to ",5
