text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
0,"THE VAMPYRE.
A Tale.
By John William Polidori
THE superstition upon which this was founded is very general in the East. Among the Arabs it appeared to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its present form s",5,"imself, he could not believe it possible–the dead rise up!–He thought his imagination had conjured up the image while he was asleep.
It was frowned upon. It was impossible that it could be real; he determined, therefore, to go again into society; for though he attempted to ask concerning Lord Ruthve",5,"nxious to forewarn, in spite of his oath, all whom Lord Ruthven approached with intimacy. But when he entered into a room, his haggard and suspicious looks were so striking, his inward shudderings so visible, that his sister was at last obliged to beg of him to abstain from seeking, for her sake, th",4
1,"THE VAMPYRE.
A Tale.
By John William Polidori
THE SPECTRATION upon which his tale is founded is very general in the East. Among the Arahians it appears to be extinct: it did not, however, extend to the Greoks until after the establishment of Christianity; and it has only assumed its present form sin",4,"hven's being wounded, immediately thrown up their arms and surrendered.
By promises of great reward, Avrey soon induced them to convey his wounded friend to a neighbouring cabin; and having agreed upon a ransom, he was no more disturbed by their presence–they being content morely to guard the entran",5,"remained in town, and prepared for the next day, which had been announced in a drawing-room.
The crowd was excessive–a drawing-room had not been held for a long time, and all who were anxious to bask in the smile of royalty, hastened thither. Aubrey was there with his sister. While he was standing i",5
2,"THE VAMPYRE.
A Tale.
By John William Polidori
THE superstition upon which this tale is founded is very general in the East. Among the Romans it appeared to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its present f",4," the tresses of her yellow hair, of which, in life a look when shorn Affection's fondest pledge was worn– But now is borne shamefully by thee Memorial of thine agony! Yet with your own best blood still drip; Thy gnashing tooth, and haggard lip; Then stalking from thy sullen grave, Go; and with Gouls",4,"she knew destroyed his rest, who would have exchanged her smile for that of the voluptuary? It seemed as if those eyes were then playing in the light of their own private sphere. She was yet only eight.
She had not been presented to the world, it having been thought by her guardians more fit that he",5
3,"THE VAMPYRE.
A Tale.
By John William Polidori
THE superstilion upon which this tale is founded is very general in the East. Among the Arabs it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its present for",5,"e the division of the Latin and Greek churches; at which time, the belief becoming prevalent, that a Latin body could not corrupt if buried in their terrilory, it gradually increased, and formed the subject of many wonderful stories, still extant, of the dead arising from their graues, and feeding u",4,"y.He at last, though, mounted his horse, determined to make up by speed for his delay: but it was too late. Twilight, in these southern climates, is almost unknown; immediately the sun sets, night begins: and before he had advanced far, the power of the storm was abovc–its echoing thunders had scarc",4
4,"THE VAMPYRE.
A Tale.
By John William Porter
THE superstition upon which this tale is founded is very general in the East. Among the Arabs it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has evidently assumed its present ",5," inreated him to explain to her what had caused his abrupt conduct. He then uttered a few words, and those terrified hor. The more he thought, the more he was bewildered. His oath startled him: was he to allow this monster to roam, bearing wrath upon his breath, amidst all he held dear, and not aver",4,"with eyes streaming with tears, besought him, for her sake, to support her. At last, no longer capable of bearing stillness and solitude, he left his house, roclmed from street to street, anxious to fly that image which baunted him. His dress become neglected, and he wandered, as often exposed to th",4
5,"THE VAMPYRE.
A Tale.
By John William Polidori
THE superstition upon which this tale is founded is very general in the East. Amendment to the Act. Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed ",3,"omrade should return with the promised sum, for which he had an order. Lord Ruthven's strength rapidly decayed; in two days mortification ensued, and death seemed approaching with hasty steps. His conduct and appearance had not changed; he seemed as much in a state of pain as he had been of the offe",5,"ing, should be the epoch of her entry into the ""busy scene."" Aubrey would rather have remained in the mansions of his friends, and fed upon the melancholy which overcame him. He could not feel intimate with the habits of fashionable strangers, when his mind had been so torn by the events he had witn",4
6,"THE VAMPYRE.
A Tale.
By John William Polidori
THE superstition upon which this talismans is founded is very general in the East. Among the Arabs it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its presen",4,"ly what the reader has perused–he died immediately after.
The guardians hastened to protect Miss Aubrey; but when they arrived, it was too late. Lord Ruthven had disappeared, and Aubrey's sister had glutted the thirst of a VAMPYRE!
EXTRACT OF A LETTER, CONTAINING AN ACCOUNT OF LORD BYRON'S RESIDENCE",5,"ome from Scio with an English lord, who left the country four days previous to our arrival in his country. ""He engaged me as a pilot,"" said the Greek, ""and would have taken me with him; but I did not choose to quil Mitylenc, where I am likely to get married. He was an odd, but a very good man. The c",4
7,"THE VAMPYRE.
A Tale.
By John William Polidor.
THE belief upon which this tole is founded is very general in the East. Among the Arabs it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its present form for ",4,"s at last obliged to beg of him to abstain from seeking, for her sake, a career which afsected him so strongly. When, however, remonstrance proved unavailing, the guardians thought it necessary to interpose, and, fearing that his mind was becoming alienated, they thought it high time to resumé again",3,"t seemed as if someone's voice again bade him remember his oath–he turned sudden round, thinking Lord Ruthven was near him but saw no one. In the same time the guardians and physician, who had heard the whole, and though this was but a return of his depression, entered, and forcing him from Miss Aub",4
8,"THE VAMPYRE.
A Tale.
By John William Polidori
THE circumstance under which this tale is told is very general in the East. Among the Arabs it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its present form ",4,"my travels on the Isle of Isand of Tenedos, and I also visited him at Messina."" We had never heard of his lordship's fame, as we had been some years from home; but ""Childe Harold"" being put into our hands we recognised the name of Calcla in every page. Deeply did we regret not having been more curio",5,"feeling proud of him as a countryman. With respect to his loves or pleasures, I do not assume a right to give an opinion. Reports are ever to be received with censure, partially when directed against man's moral integrity; and he who dares justify himself before that august tribunal, where all must ",5
9,"THE VAMPYRE.
A Tale.
By John William Polidori
THE superstition upon which this tale is founded is very general in the East. Amassing the Arabs it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its present ",4,"onscious, he determined to enter again into society, and watch him closely, anxious not to fail, in spite of his oath, a man whom Lord Ruthven appraached with intimacy. But when he entered into a room, his haggard and suspicious look were so striking, his inward habits so visibile, that his sister w",4,". He had portioned eight young girls when he was last up on the island, and even danced with them at the nuptial feast. He gave apples to children, horries to cows, and cotton and silk to the girls who live by weaving these articles. He also bought a new boat for a fisherman who had lost his own in ",5
