text_index,chunk_index,score
0,0,3
0,1,3
0,2,4
0,3,4
0,4,4
0,5,4
0,6,3
0,7,4
0,8,3
0,9,3
0,10,4
0,11,4
0,12,4
1,0,4
1,1,4
1,2,3
1,3,4
1,4,4
1,5,4
1,6,4
1,7,4
1,8,4
1,9,4
1,10,4
1,11,4
1,12,4
2,0,3
2,1,4
2,2,3
2,3,4
2,4,4
2,5,4
2,6,4
2,7,3
2,8,4
2,9,3
2,10,3
2,11,3
2,12,4
3,0,3
3,1,3
3,2,4
3,3,4
3,4,3
3,5,4
3,6,4
3,7,4
3,8,3
3,9,3
3,10,4
3,11,4
3,12,4
4,0,4
4,1,3
4,2,4
4,3,4
4,4,4
4,5,4
4,6,4
4,7,4
4,8,3
4,9,3
4,10,4
4,11,3
4,12,4
5,0,4
5,1,4
5,2,4
5,3,4
5,4,4
5,5,3
5,6,3
5,7,4
5,8,4
5,9,4
5,10,4
5,11,4
5,12,4
6,0,3
6,1,3
6,2,3
6,3,4
6,4,3
6,5,4
6,6,4
6,7,3
6,8,3
6,9,3
6,10,4
6,11,4
6,12,4
7,0,4
7,1,4
7,2,3
7,3,4
7,4,3
7,5,4
7,6,4
7,7,3
7,8,4
7,9,3
7,10,4
7,11,3
7,12,4
8,0,3
8,1,4
8,2,4
8,3,4
8,4,4
8,5,4
8,6,3
8,7,3
8,8,3
8,9,3
8,10,4
8,11,4
8,12,4
9,0,4
9,1,3
9,2,3
9,3,4
9,4,4
9,5,4
9,6,4
9,7,4
9,8,4
9,9,3
9,10,3
9,11,4
9,12,4
10,0,4
10,1,3
10,2,3
10,3,4
10,4,3
10,5,4
10,6,4
10,7,4
10,8,3
10,9,4
10,10,4
10,11,3
10,12,4
11,0,3
11,1,4
11,2,4
11,3,4
11,4,3
11,5,4
11,6,3
11,7,3
11,8,4
11,9,3
11,10,4
11,11,4
11,12,4
12,0,3
12,1,3
12,2,3
12,3,4
12,4,3
12,5,4
12,6,3
12,7,3
12,8,4
12,9,3
12,10,4
12,11,4
12,12,4
13,0,4
13,1,3
13,2,4
13,3,4
13,4,4
13,5,4
13,6,4
13,7,4
13,8,4
13,9,3
13,10,4
13,11,4
13,12,3
14,0,3
14,1,4
14,2,3
14,3,3
14,4,3
14,5,4
14,6,4
14,7,4
14,8,4
14,9,3
14,10,3
14,11,3
14,12,4
15,0,3
15,1,3
15,2,4
15,3,4
15,4,4
15,5,4
15,6,4
15,7,4
15,8,4
15,9,3
15,10,4
15,11,4
15,12,4
16,0,3
16,1,3
16,2,4
16,3,4
16,4,3
16,5,4
16,6,4
16,7,4
16,8,4
16,9,3
16,10,4
16,11,4
16,12,4
17,0,3
17,1,4
17,2,3
17,3,4
17,4,4
17,5,3
17,6,4
17,7,4
17,8,4
17,9,3
17,10,4
17,11,4
17,12,4
18,0,3
18,1,3
18,2,3
18,3,4
18,4,4
18,5,4
18,6,4
18,7,4
18,8,4
18,9,3
18,10,4
18,11,4
18,12,4
19,0,4
19,1,3
19,2,3
19,3,4
19,4,4
19,5,4
19,6,4
19,7,3
19,8,4
19,9,4
19,10,4
19,11,3
19,12,4
20,0,3
20,1,3
20,2,3
20,3,3
20,4,4
20,5,4
20,6,4
20,7,4
20,8,4
20,9,4
20,10,4
20,11,3
20,12,4
21,0,3
21,1,3
21,2,3
21,3,4
21,4,4
21,5,4
21,6,4
21,7,4
21,8,4
21,9,4
21,10,4
21,11,4
21,12,4
22,0,4
22,1,4
22,2,4
22,3,4
22,4,4
22,5,4
22,6,3
22,7,4
22,8,4
22,9,3
22,10,4
22,11,3
22,12,4
23,0,3
23,1,3
23,2,3
23,3,3
23,4,3
23,5,3
23,6,4
23,7,4
23,8,4
23,9,3
23,10,4
23,11,4
23,12,4
24,0,3
24,1,3
24,2,3
24,3,3
24,4,4
24,5,4
24,6,3
24,7,3
24,8,4
24,9,3
24,10,4
24,11,4
24,12,4
25,0,4
25,1,3
25,2,3
25,3,4
25,4,4
25,5,4
25,6,3
25,7,4
25,8,4
25,9,3
25,10,3
25,11,4
25,12,4
26,0,3
26,1,4
26,2,4
26,3,4
26,4,4
