text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
0,"THE VAMPYRE;
A Tale.
By John William Polidori
THEsuperstition upon which this taIe iſ founded is very general in the East. Among tho Arabjans itappeors to be common: it did not, however, extend itself to the Greeks until after the establi shment of Christianity; and it has only aſsumed its prosent f",3,"proaching, should be the epoch of ber entry into the ""buſy scene."" Aubrey would rather bave reinained in the mansion os his fathers, and fed up0n the ineIancboly which overpowered him. He could not feel interesl about the frlvolities of fashionable strongers, when bis mind had been so torri by the e",3," of whose presence tbey were unconscious, he determined to cnter agoin into society, and watcb bim clasely, anxious to forewarn, in spite of his oath, all whom Lord Ruthven approached with intimacy. But when heentered into a room, hls haggard and suspicious looks were so st riking, his inward shudde",2
1,"THE VAMPYRE;
A Tale.
By Johri William Polidori
THE svperstition upon which lhis tale is founded ls uery general in the East. Among the Arahians it appears to be eommon: it did not, hawever, extend itsels to the Greoks until after the establishment of Christianity; and it has only assumed its present",3,"e feelings of affection. He begcln to speak withall hiſ wonted warmth, and to corigratulale her upon her marriage with a person so distinguished for rank and every accomplishment; when he suddenly perceiued a locket upon bcr breast; openirig ll, what wos hif surprise at beholding the features of the",2,"his bosom. Tonderness, sympatby, and charity appear to guide all his actions: and his courting tho repose of solitude is an additional reason for markirig him cls a bcing on whose heart Religion hath set her seol, and ovcr whose head Benevolerice hclth thrown her mantle. No inan can read the precedi",3
2,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this tale is founded is very general in lhe East. Among the Ar abians it appeors to be common: it did not, however, extend itself to lhe Greeks until ofter the establlfhrnent of Christianity; and it has only ossumed its preson",3,"ictions upori his head, and curse him as her destroyer. Lord Ruthven, chanocd at this time to arrive at Athens, and, from whatever motivc, vpon hearing of the state of Aubrey, immediately placed hjmseIf in the same h0use, and became his constant atlendant. When the lattcr recovered from his deljrium",2,", on one occasion they lravelled withonly a few guards, more to serve as guides than as a dosenco. Upon entering, however, a narrow defile, at the bottom of whioh was the bed of a torrent, with lclrge masses os rock brought down from the noighbo-
uring preciplees, they bad reaſon to repenl their neg",3
3,"THE VAMPYRE;
A Tale.
By John Wjlliam Polidori
THE superstilion upon which this tale is founded is very general ln the East. Among the Arabians it appears to be common: it djd not, however, extenditself to the Greeks until after the establishment of Christianity; and it has only assumed its present f",3,"lely been to him the object of so many bright and fairy vifions, now fallen with the flawer of life that had died within her. He knew not what hls thougbts were—his mindwas benumbed and seemed to ſhun reflection, and take rcfuge in vacanoy—he beld almost unconsciously in his hand a naked dagger of a",3,"ich an ancient Greek temple appeared in majestjc decoy. A small stream issuing from the ruins descended in broken cascades, until it was lost in the woodf near lhe mountain's base. Tho fea smaoth as glass, and an borizon unshadowed by a single cloud, termiriates the uiew in front; anda little on the",2
4,"THE VAMPYRE;
A Tale.
By Jahn William PoIjdori
THE superstition upon which this tale is founded is very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to tho Greeks until after the establishment of Christianity; and it has orily assumed its present",3,"tiquary, who letescclpe from his mind the very object he had before thought of vital jmportance to tho proper interpretatiori of o passage in Pausanios. But why attompt to describe charms whicb all feel, but none cari appreciate?—It was innocenoe, yauth, and beauty, unaffected by orawded drawing-ro0",3,"recaunt—could speak of hjmself as of an individual baving no sympathy with ariy being on the crowded earth, save with ber to whom he addressed himself;—could tell how, since he knew her, his existence, had hegun to seem worlhy of prcservation, if it were merely that he might listen to her soothing a",3
5,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this tclle is founded is very general in the East. Am0rig thc Arabians it appears to he common: it did not, however, extend itself to the Greeks until after thc establlshment of Christianity; and it has only asſumed jts presen",2,"e bright point on whicb to reft the oye. He resolved to inverit some plausible pretext for abandoning him altogether, pvrposing, in the mean while, to walch him more closely, and to let no flight circumstclnces pass by unnoticed. Hc entored int0 tbe samc circlo, and soon perceivcd, that bis Lordſhip",2,"he person who had residod in this romantic solitude: none knew his name hut Domjnick, hls banker, wbo hcld gone to Candia. ""The Armenian,"" said our conductor, ""could tell, bul I am sure he will not,""—""And cannot you tell, old friend?"" said I—""If I can,"" said be, ""I dare not."" We had not time l0 uisi",3
6,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this talo js founded is very general in thc East. Among the Arabians it appears to be common: it did not, h0wever, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its preſent ",2,"ind could not find it in the neighbourhood of Atheris;if he s0ught it amidst the rvins he had formerly frequented, Ianthe's form stood by his side—if he sought it ln the woods, her light step would appear wandering amidst the underwood, in quest of the modest violet; lhen suddenly turning rovnd, wou",3," her presentcltiori should be delclyed until her brother's return from lhe conlirient, whcn he might be her protector. It was now, therefore, resolved that the next drclwing-roam, whicb was fast clpproaching, should be the epocb of her entry into the ""busy scene."" Aubrey would rather have remajned i",3
7,"THE VAMPYRE;
A Tale.
By John William Polidorl
THE svperstition upon which this tole is founded is very general in lhe East. Among the Arabiaris it appears to be cammon: it did ri0t, howcver, extend itself to tbe Greeks until after the establishment of Christianity; and it has only assumed itf presen",2,"hbouring precipices, they had reason to repent thelr negligence; for scarcely were the whole of the party engaged in the narrow pasſ, when they were ftortled by the whistling of bullets close to their heads, and by the echoed report of seueral guns. Iri an instclnt their guards had left them, and, p",2,"ked anxiously to whom. Glad of this mark of returning intellect, of which they fcared he had been deprlved, they mentioned the nameof the Earl af Marsden. Thinking thjs was a young Earl whom he had met with in society, Avbrey ſeemed pleased, and astonisbed them still more by his expressing his inten",2
8,"THE VAMPYRE;
A Tale.
By John William Polidori
THE fuperstition vpon which this tale is fovnded is very general in the East. Among the Arabians it appears to 6e common: it did not, however, oxtend itself to the Greeks until aster the establishment of Christianity; and it has anly assumed its present ",2,"hven again before him—circumstances s tarted up in dreadful array—the dagger—his oath.—He rouscd himself, he could not believe it possible—the dead rise agajn!—He thought his iinaginatiori bad conjured up the image his mind was resting upon. It was impossible that it eould be real—he determined, the",2,"d physician,who had hoard the whole, and thought this was but o return os his disorder, entered, and sorcing him from Miss Aubrey, deſired her to leave him. He fell uponhis knees to them, he imp1ored,he begged of them to delay but forone day. They, attributlng this lo the insanity they imagined had ",3
9,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this tale ls founded is very goneral in the Eost. Amang the Arabians it appears ta be comrnon: il did not, however, extend itself lo the Greeks vntil after tho establishment of Christianity; and it has only clssumed its preſen",3,"s wild but beautiful poem of ""Thalaba,"" the vampyre corse of the Arabian maid Oneiza, who is represented as having returncd froin the grave for tbe purpose of tormenting him she best loved whilsl in existence. But this cannol be supposod lo have resultcd from the sinfulness of her life, she being po",2,"oundod throat, with a meek smile upon her lips. He determined t0 fly scenes, every seclture of which created such bitter associatioris in his mind. He proposed to Lord Ruthuen, to whom he held himself bound by the lender care he had taken of him during his illness, that they should visit thosc parts",2
10,"THE VAMPYRE;
A Tale.
By John Willjam P0lidori
THE superstition upon which this tale is fourided is very general in tbe East. Among tbe Arabians it appears to be commori: it did not, bowever, extend itself to the Greeks until after the estoblishment of Christianlty; and it has 0nly assumed lts presen",3,"e called Homer's School, and other places, where we had been bef0re. Dn the brow os Mount Ida (a smoll monticvle so named) we mct with and engaged a young Greekas 0ur guide, who told uf he had eome from Scio with an English lord, who left the island fourdays previous to our arrival jn his felucca. """,2,"thers; but,"" said ho, ""there they must lie untjl his roturri; for he is so particular, that were I to mave ane lhirig without orders, he would frown upori me for a week together; he is otberways very good. I once did him aservice; and I have the produce of this farm for the trouble of takjng caro af",3
11,"THE VAMPYRE;
A Tale.
By John Willjam Polidori
THE superſtition upon which thiſ tale is fourided is very general in the East. Among the Arabians il appears to be common: it did nat, however, extend itseIf to the Greeks uritil after the estclbliſhment of Christianity; and il has only assumed its prese",3,"o pacify him,and retired.
Lord Ruthven hcld ccllled the morning after the drawing-room, and had been refufedwith every one else. Whcn hc heard of Aubrey 's ill hea1th, be rcadi1y understood himself to be the cause of it; bul when he learned that he was deemed insane, his exultatiari and pleasure cou",2," in 6loom, arid on lhe summit of which an ancient Greek tompIe appear od in majestie decoy. A small stream issuing fram the ruins descended in broken cascades, until it was losl in the woods near the rnountain's base. The sea smooth as glass, and an horizon unshadowed by a single cloud, termlnates t",3
12,"THE VAMPYRE;
A Talo.
By John William Polidori
THE superstition upon which this taleis faunded is very general in the East. Amang the Arabiaris it appears to be eommon: it did not, however, extend itself to tbe Greeks until after the eslablishment of Christiariity; andit has only clsfumed its presenl",3,"e daughters at the ſame time, by their brighteriing countenanceſ when he approclched, and by tbeir sparkling eyes, wben he apened his lips, soon led him into false notions of his talents and his meril. Attached as he was to the romance of his so1itary hours, he waf stortled at finding, tbat, except ",2,"society which affected him so strongly. When, however, remaristrclnce provod uriavailing, the gvardians thought proper to interpose, and, fearlng tbat hls mind was becomirig alieriated, they thougbt it high time to resuine agairi that truft which had been before irnposed vpon thein by Aubrey's paren",2
13,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this tale is founded is very general in the East. Among the Arabians it appears to be common: it did nat, however, extend itself to lhe Greeks until after the establisbment of Christiariity; and it has only assumed its preſent",2,"essjngwho lhis rambler in Greecc could be. Ho had money it was euldent:he had philanthropy of dispofition, and all thoſe eccentricities which mark peculiar genius. Arrived clt Palermo, all our doubts were dispelled. Falling in company with Mr. FDSTER, the architect, a pupil of WYATT'S, who had been ",2,"e of solitude is cln additional reason sor mark ing him as cl being on whose heart Religion hath set her sea1, and over whose head Benevolence hath thrown her mantle. No man oan read the precedirig pleasing ""traits"" without feeling proud of him as a covntryman. With respect to his loves or pleasures",2
14,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon whlch this tale is founded is very general in the East. Among the Arabians it appcars to be common: it did not, however, extend itself ta the Greeks until after the establishment of Christianity; and it has only assumed its present ",2,"ate, tbat he gained her affections. The title of the elder branch falling at length t0 him, he obtained an important embassy, which se rved as an excuse for hastening the marriage, (in spite of her brother's deranged slate,) which was to toke place the very day before his departure for the continent",3,"viation of a voyage. We landed; as usual, at the bottom of the bay, and whiIst the men wore employed in watering, and lhe purser borgclining for cattle wilh tbc ncltives, the clergyman and myself took a ramble to the cave called Homer's Scbool, and other places, where we had been before. On the brow",2
15,"THE VAMPYRE;
A Tale.
By Johri WilIiam Polidori
THE superstition upon wbich this tale is foundod is very gcneral in the East. Among the Arabians it appears to be common: it did not, hawever, extend itself to the Greeks until after tbe establishment of Christianity; and it has only assumed its preseri",4,"novice, or the luckless father of a riumerous family; then his very wiſb seemed fortune's law—this appclrent abstractedness of mind waf laid clside, and his eyes sparkled with morefire than that of the catwhilst dallying with the ha1f-decld mouse. In every town, he left the formerly affluent youth, ",3,"o, hod, since his departure, thrown evcn the mask aside, and had nol scrupled lo exposc the whole deformity of their vices to the public gaze.
Aubrey detormined upon leavingorie, whofe eharacter had notyet shown a single bright point on which to rest tbe eye. He resolved to invent some plauſible pre",3
16,"THE VAMPYRE;
A Tale.
By JohnWilliam Polidorj
THE superstition upon which this tale is faunded is very general in the East. Among tho Arabians jt appoars to be common: it did not, hawever, extend itself to the Grecks until afler the eſtablishmenl of Christjanity; arid it has only assumed its present ",3,"b provedthe ruin of all, and did not tend to his own profit;—but he delayed it—for each day he hoped his friend would give him some opportunity of speaking frankly and openly to him; howevor, this never occurred. Lord Ruthven in his carriage, and amidst the various wild ond rich sconos af nature, wa",4,"unconsciously in his hand a naked dagger of a partjcular construction, which had been found in thc hut. They were soon met by differerit parties wha had 6een engaged in the search of her whom a mather hod missed. Theirlamentable eries, as they approached the city, forewamod the parents of some dread",2
17,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which thiſ tale is founded is very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeks until oster the establishment of Chriftianity; and it has only assumcd its prcserit",4,"rfly or a coIour may attract—it was sedate and pensive. When alarie, her face waf never brightened by the smile of joy; but when her brother breathed to her bis affection, and would in her presence forget lhofe gri efs she know destroyed his rest, who would have exchanged hcr smile for that of the v",3,"rmation. He went a few nights after with hls sister to the assembly of a near relation. Leaving her under the protection af a matran, he retired into a recess, and there gave himsclf up to his own devouring thoughts. Perceiving, at last, that many were leaving, he roused himself, and entering anothe",3
18,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition vpon which this tale is founded is very general in the Eclst. Among tbe Arabians it appears lobe common: it did not, however, exterid itself to the Grecks unti1 after the esta6lishinent of Cbristianity; and it has only assumed its presen",2,"ndont. When the latter recovered from his delirium, he was horrified and ftartled clt the sight of him whose image he had riow comblned wjth that of a Vampyre; but Lord Ruthven, by hiſ kind words, iinplying almost repentance for the fault that had caused their soparation, and still more by the atter",2," the men, determined to go and bury it upon thc spot where it lay. But, when he had mounled to thesummit he fourid no traco os either the corpse or the clothes, thaugh the ro6bors swore they pointed out the identicol rock on which they had laid lhe hody. For a time bis mind was bewildered in conjeet",2
19,"THE VAMPYRE;
A Tale.
By John Wjlliam Po1idori
THE suporslition upon which this tale is founded is vory general in the East. Am0ng the Arabians it appears lo be commori: it did not, however, extend itsclf lo the Greeks until after the establishment of Christianity; and it has only assumed jts prefent",4," encounlered in his wanderings, and of prevontjng him from exposing to the general eye those marks of what they oonsidered folly, they erigaged a physlcian to roside in the hovse, and take conſtant care of him. He hardly appeared to notice it, so eompletely was his mind obsorbed by 0ne terrlblc subj",3,"no one. In the meantiine the guardiclns and physician, who bad beard the whole, and thought thiswaf but a retum of bis djsorder, entered, and forcing him from Miss Aubrey, desired her to Ieave hiin. He fell upon his knces to thern, he implored, he hegged of lhein to delay but for one day. They, attr",3
20,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this tale iſ founded is very goneral in the Eaſt. Among the Arabions it appeors to bc common: it did not, hawever, extend itself to the Greeks until after the establishment of Christianity; clndit has only assumed its prosent ",3,"t him, when he perceivod, at a ljttle distanco, lhe same figure which had attracted his notice on this spot upon his first entry into society. He gazed till his limbs almast refusing to bear their weighl, he was obliged to take the arm of a friend, and forcing a passage through thecr0wd, be lhrew hi",2,"when his sister was golng next dcly to be married. Instantly Aubrey's attentiori was attracted; he aſked anxiously to whom. Glad of tbis mark of returnjng intellect, of which they fearcd he had been deprived, they mentioned the name of the Eclrl of Marsden. Thinking this was a yourig Earl whom he ha",4
21,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon whioh thiſ tale is founded is very general in the East. Among the Arabians it appears to 6e comman:it didriol, howeuer, extend itself to the Greeks unti1after the establishinent af Christianity; clnd it has orily assumed its presonl",3,"tomove, turned round, and revealed to him those features he most abhorred. He sprang forward, seized his sister's arm, arid, with hurried step, forced her towards tho street: at the door hesound hiinfelf impeded 6y tbe crowd of servarits who were waiting for their lords; and while hewas engaged jn p",2," great affectian for the brother and interest in his fate, he gradually won the oar of Mifs Avbrey. Who could resisl his power? His tongue had dangers and tails lo recount—could speak of bimseIf as 0f an lndividual having no sympathy with any bcing on the crowded earth, save with her to whom he addr",2
22,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this lale is fovnded is very gerieral iri the East. Among the Arabians it appears to be oommon: it did riot, however, extend itself to the Greeks until after the establishment of Christianity; and il has on1y assumed its prese",2,"icted jn his lordship's poems, secm lo have their seat in his bosom. Teriderness, sympathy, and charity appear to gvide allhis actions: and his courting the repose of solitude is an additiancll reason for marking him as a beirig on whose heort Religion hath set her seal, and ovor whose head Benevole",2,"licularly when directed against man's moral integrity; and he who dares juſtify himself before thal awful tribunal where all must appear, alone may censure the errors of a fellow-mortal. Lard Byron's character is worthy of his genius. To do good in secret, and shun the world's applause, is lhe sures",2
23,"THE VAMPYRE;
A Tole.
By John William Polidori
THE superstition upon which this tale is founded is very general iri tho East. Amang the Ara6ians it appears to be common: it did riot, however, extend itself lo the Greeks until clfter the establishrnent ofChristianity; and it has 0nly assumed its prese",2,"ords, and those torrified her. The more he thaught, the more he was bewildered. His oath ftartled him;—was he then to allow this monsler to roam, bearing ruin upori his bre-
ath, amidst all he beld dear, and not avert its progress? His very ſister might have been touched by him. But even if he were ",3,"entrance hall, a drawing-room, a sitting parlour, and a bed-roorn, with a spacious closet annexed. They were all simply decorated: plain green-stained walls, marble tables on eithor side, a lar ge myrtle in the centre, and a smclll fountain beneath, which co uld be made to play through thc branches ",2
24,"THE VAMPYRE;
A Tale.
By John William Polidori
THE superstition upon which this tale is founded is very gerieral in the East. Arnong thc Arabians it appears to be common: it did nol, however, extend itself to the Greekſ until after lhe establishment of Cbristianity; clnd it has only assumed its prese",3,"foedirig upon lhe blood os the young and bcautiful. In the Weſt it spread, wilh some sIight variation, all over Hungary, Poland, Austria, ond Lorraine, where the beIief existed, that vampyres nig htly imbihed a certclinportjon of tbe blood of their uictims, who beoarne emaciated, lost their strength",3,"he old man, ""praying"" for he was very devovl, ""arid always attended our church twice cl week, besides Sundays.""
The view from this seat was what may he terined ""a bird's-eye view."" A line of rich vineyards led the eye to Mount Calela, covercd wjth olive and myrlle trees in bloom, and on the summit o",4
25,"THE VAMPYRE;
A Ta1e.
By John Williain Polidori
THE suporstitlon vponwhich this lale is founded is very general in the Eclst. Among the Arabians it appeclrs to bo common:it did not, however, extend itsels to the Greeks until after the establisbmont of Christiariity; and it has only assumed its presen",2,"hich he had formed his study. Finding, howover, somc compensation in his gratified vanity, he was abaut to rclinquish his dreams, when the extraordinary being we have abovedescribed, crossed him in his careor.
He watched him; arid the very impossibilityof forming an idea of the character of a man en",3,"no trace of either the corpse or thc clothes, lhough the robbers swore thoy poinled out the identical rock on which they had laid the body. For a time his mind was hewildered in conjectures, but he at 1ast returned, convinced thal they had buried the corpse for the soke of the clolhes.
Weary os a co",3
26,"THE VAMPYRE;
A Tale.
By John William Polidori
THE suporstition upon which this tale is founded is very general in tho Easl. Among the Arabians it appears to be common: it did not, however, extend itself lo the Greekf untll after the estoblishment of Christianity;and it has only assumed its present f",2,"se who had been accustomed to violent excitement, and now felt the weigbt os ennui, were pleased at having somethjng in their presence capable of engaging their attonliori. In spite of the deadly hue of his face, which never gained a warrner tlnt, elther from lhe blusb of rnodesty, 0r from the stron",3,"sriatch froin Lord Ruthuen's seductive arts. Her parents were in distress, their fortuno ruined, and she hcld not been heard of since the dcparture of bis lordship. Aubrey's mind became almost brokeri vnder so many repeated horrors; he was asraid that tbis lady had fallen a victim to the dest royer ",2
27,"THE VAMPYRE;
A Tale.
By J0hn Wil1iam Polid0ri
THE superftition upon wh ich this tale isf0undcd is very general in the East. Amorig tbe Arabians it oppears to be comman: it did not, however, extend itself to the Greeks until after the establisbment of Christianity; and it has only assumed ils present",2,"r a time loſt sight of his companion; he left him ln daily attendanee upon the rnorning circle of an Italian covntess, whilst ho went in search of the memorials afanother almost deserted city. Whilst he was thus engaged, letters arrived from England, which he opened with cager impatience; the first ",2," epoch of her entry int0 the ""bvsy scene."" Auhrey would rather have remained in the mansion of his fathers,and fed upon the melancholy wbich overpowered him. He could not fcel interest aboul the frivoIities 0f fashionoble strangers, when his mind had been so torn by lbe eventf he had witnessed; bvt ",2
28,"THE VAMPYRE;
A Tale.
By John Williain Polidori
THE superstition vpon which this tale is founded is very general in tbe East. Among the Arabians it appears lo be common: it did not, however, exterid itself to the Greeks unt il after the esta6lishment of Christianity; ond it has orily assumed its pres",4,"nd I also visited him al Mitylerie."" We had never then heard of his lordship's fame, as we had been some years fram home; but ""Childe Harolde""being put into our hands we recognizcd the rocluse of Calcla in every page. Deeply did we regretnot having been more cvrious iri our researches ot the cotlclg",3,"rectly the reverse, as may be plainly gathered from these little anecdotes. All the finer feelings 0f theheart, so elegaritly dcpicted in his lordship's poems, seem to hove their seat in his bosom. Tenderness, sympathy, and charlty appear to gulde all his aetions: and his oourting thc repose of soli",2
29,"THE VAMPYRE;
A Talo.
By John William Polidori
THE superftition upon which lhis tole is founded is very general in the East. Among tho Arabians it appears to be coinmon: il did not, however, extend itself lo the Greeks untll ofter the eſtahlishment of Christianity; and it has only assuined its presen",3,"blue; Then with unhallowod hand shal1 lear The tresses of her ye1l0w hoir, Of whicb, in life a l0ck when shorn Affectian's fondest pledge wasworn— Bul now is borne away by thee Memorial of thine agoriy! Yel with thino own best blood shall drip; Thy gnashing tooth, and haggard lip; Then stalking to t",2,"desty, or from lhe strong emotion of passion, though its forrn arid outline were beautiful, mariy of the female hunters after notoriety attempted to win his attenti0ns, and gain, al least, some mclrks of what they inight term clffection: Lady Mercer, who had been lhe mockery of every monster shewn i",2
30,"THE VAMPYRE;
A Tale.
By Johri William Polidori
THE superstition upon whieh this lclle is founded if very gcneral in the East. Among thc Arabians it appears to bc comman: it did not, hawever, extend itself to the Greeks until afler the establishment of Christianity; and it has only assumed its presen",3,"gbtlessneſs reigned. Those who felt this sensatian of awe, could not explain wherice it arose: some attributed it to tho dead grey eye, which, fixing upon the object's foce, did not seem to penetrote, and at one glance to pierce through to the inward workings of the heart; but fell upon the cheek wi",2,"to brihe the servonts, but in vain. He asked for pen and paper; it was given bim; hewrote a letter to his slster, oonjuring her, as she valued her awn happiness, her 0wn hanour, andthe honour of those now in the grave, who once ho1d her in their arms as lhoir hope and the hope of their hous e, to de",2
